id,start,end,label,category,region,certainty,uncertainty,source,link
cuneiform-writing,3400 BC,3000 BC,Invention of cuneiform writing,science,MIDDLE_EAST,approx,150,Archaeological record,
bronze-metallurgy,3300 BC,1200 BC,Bronze Age metallurgy,science,MIDDLE_EAST,approx,150,Archaeological record,
egyptian-medicine-papyri,1800 BC,1550 BC,Egyptian medical papyri,science,AFRICA,approx,80,Edwin Smith and Ebers papyri,
iron-metallurgy,1200 BC,500 BC,Spread of iron metallurgy,science,MIDDLE_EAST,approx,100,Archaeological record,
alphabetic-writing,1050 BC,,Phoenician alphabet,science,MIDDLE_EAST,approx,50,Inscriptions,
babylonian-astronomy,700 BC,50 BC,Systematic Babylonian astronomical records,science,MIDDLE_EAST,approx,50,Astronomical diaries,
hippocratic-medicine,430 BC,370 BC,Hippocratic medical corpus,science,EUROPE,approx,20,Hippocratic Corpus,
plague-of-athens,430 BC,426 BC,Plague of Athens,science,EUROPE,year,,Thucydides,
euclid-elements,300 BC,,Euclid's Elements,science,AFRICA,approx,15,Primary text,
library-of-alexandria,285 BC,270,Library of Alexandria,science,AFRICA,approx,25,Ancient sources,
archimedes-works,250 BC,212 BC,Works of Archimedes,science,EUROPE,approx,10,Primary texts,
eratosthenes-earth,240 BC,,Eratosthenes measures the Earth,science,AFRICA,approx,10,Cleomedes,
chinese-papermaking,105,,Cai Lun standardises papermaking,science,ASIA_EAST,year,,Han records,
ptolemy-almagest,150,,Ptolemy's Almagest,science,AFRICA,approx,10,Primary text,
antonine-plague,165,180,Antonine Plague,science,EUROPE,year,,Galen; Roman sources,
plague-of-cyprian,249,262,Plague of Cyprian,science,EUROPE,year,,Cyprian; Roman sources,
galen-medicine,160,210,Medical system of Galen,science,EUROPE,approx,10,Primary texts,
indian-decimal-numerals,400,600,Decimal place-value numerals in India,science,ASIA_SOUTH,approx,50,Indian mathematical texts,
aryabhata,499,,Aryabhata's Aryabhatiya,science,ASIA_SOUTH,year,,Primary text,
plague-of-justinian,541,549,Plague of Justinian,science,MIDDLE_EAST,year,,Procopius,
first-plague-pandemic,541,750,First plague pandemic,science,GLOBAL,approx,10,Chronicles; genomic evidence,
house-of-wisdom,813,1258,House of Wisdom in Baghdad,science,MIDDLE_EAST,approx,15,Arabic sources,
al-khwarizmi-algebra,820,,Al-Khwarizmi's algebra,science,MIDDLE_EAST,approx,10,Primary text,
chinese-gunpowder,850,1000,Gunpowder developed in China,science,ASIA_EAST,approx,50,Chinese texts,
alhazen-optics,1011,1021,Ibn al-Haytham's Book of Optics,science,MIDDLE_EAST,approx,5,Primary text,
avicenna-canon,1025,,Avicenna's Canon of Medicine,science,MIDDLE_EAST,year,,Primary text,
chinese-movable-type,1040,,Bi Sheng's movable type,science,ASIA_EAST,approx,5,Shen Kuo,
magnetic-compass-navigation,1090,1200,Magnetic compass used for navigation,science,ASIA_EAST,approx,40,Chinese and Arabic sources,
european-universities,1088,1400,Foundation of the European universities,science,EUROPE,approx,20,Charters,
black-death,1346,1353,Black Death,science,GLOBAL,year,,Chronicles; genomic evidence,
second-plague-pandemic,1346,1750,Second plague pandemic,science,GLOBAL,approx,20,Chronicles; genomic evidence,
gutenberg-printing,1440,1455,Gutenberg's printing press,science,EUROPE,approx,5,Printed record,
columbian-exchange,1492,1600,Columbian Exchange of crops and disease,science,GLOBAL,approx,20,Colonial records,
american-smallpox-epidemics,1518,1600,Smallpox epidemics devastate the Americas,science,AMERICAS,year,,Spanish colonial records,
cocoliztli-epidemics,1545,1576,Cocoliztli epidemics in Mexico,science,AMERICAS,year,,Colonial records,
copernicus-heliocentrism,1543,,Copernicus publishes De revolutionibus,science,EUROPE,year,,Primary text,
vesalius-anatomy,1543,,Vesalius publishes De humani corporis fabrica,science,EUROPE,year,,Primary text,
tycho-observations,1576,1597,Tycho Brahe's observational programme,science,EUROPE,year,,Observation logs,
galileo-telescope,1609,1610,Galileo turns the telescope on the sky,science,EUROPE,year,,Sidereus Nuncius,
kepler-laws,1609,1619,Kepler's laws of planetary motion,science,EUROPE,year,,Primary texts,
harvey-circulation,1628,,Harvey describes the circulation of the blood,science,EUROPE,year,,Primary text,
scientific-revolution,1543,1687,Scientific Revolution,science,EUROPE,approx,10,Published record,
great-plague-of-london,1665,1666,Great Plague of London,science,EUROPE,year,,Bills of mortality,
newton-principia,1687-07-05,,Newton's Principia,science,EUROPE,exact,,Primary text,
smallpox-inoculation,1721,,Smallpox inoculation introduced in Britain and Boston,science,GLOBAL,year,,Medical records,
linnaean-taxonomy,1735,,Linnaeus publishes Systema Naturae,science,EUROPE,year,,Primary text,
watt-steam-engine,1769,,Watt patents the separate condenser,science,EUROPE,year,,Patent record,
lavoisier-chemistry,1789,,Lavoisier's Traité élémentaire de chimie,science,EUROPE,year,,Primary text,
jenner-vaccination,1796-05-14,,Jenner's first vaccination,science,EUROPE,exact,,Medical records,
first-cholera-pandemic,1817,1824,First cholera pandemic,science,ASIA_SOUTH,year,,Colonial medical records,
railways-open,1825-09-27,,Stockton and Darlington Railway opens,science,EUROPE,exact,,Company records,
electric-telegraph,1837,1844,Electric telegraph,science,GLOBAL,year,,Patent records,
third-cholera-pandemic,1846,1860,Third cholera pandemic,science,GLOBAL,year,,Medical records,
snow-cholera-map,1854-09,,John Snow traces cholera to the Broad Street pump,science,EUROPE,exact,,Primary report,
darwin-origin,1859-11-24,,Darwin publishes On the Origin of Species,science,EUROPE,exact,,Primary text,
germ-theory,1861,1876,Germ theory established by Pasteur and Koch,science,EUROPE,year,,Primary papers,
mendel-genetics,1866,,Mendel publishes his laws of inheritance,science,EUROPE,year,,Primary paper,
periodic-table,1869,,Mendeleev's periodic table,science,EUROPE,year,,Primary paper,
electrification,1882,1930,Electrification of cities,science,GLOBAL,year,,Utility records,
haber-bosch,1909,1913,Haber–Bosch nitrogen fixation,science,EUROPE,year,,Patent and plant records,
general-relativity,1915-11-25,,Einstein presents general relativity,science,EUROPE,exact,,Primary paper,
spanish-flu,1918-02,1920-04,Influenza pandemic,science,GLOBAL,year,,Public health records,
penicillin,1928-09-28,1945,Discovery and mass production of penicillin,science,EUROPE,exact,,Primary papers,
quantum-mechanics,1925,1927,Formulation of quantum mechanics,science,EUROPE,year,,Primary papers,
