id,start,end,label,category,region,certainty,uncertainty,source,link
vedic-period,1500 BC,500 BC,Vedic period and composition of the Vedas,religion,ASIA_SOUTH,approx,100,Vedic texts; linguistic evidence,
zoroaster,1000 BC,,Zoroaster and the origins of Zoroastrianism,religion,MIDDLE_EAST,contested,400,Avestan texts; scholarly dating,
first-temple,957 BC,586 BC,First Temple in Jerusalem,religion,MIDDLE_EAST,approx,40,Hebrew Bible; archaeology,
axial-age,800 BC,200 BC,Axial Age — parallel religious and ethical revolutions,religion,GLOBAL,approx,100,Comparative textual record,
upanishads,800 BC,200 BC,Composition of the Upanishads,religion,ASIA_SOUTH,approx,100,Primary texts,
mahavira,599 BC,527 BC,Mahavira and the Jain tradition,religion,ASIA_SOUTH,contested,60,Jain canon,
the-buddha,563 BC,483 BC,The Buddha,religion,ASIA_SOUTH,contested,60,Pali canon; scholarly dating,
laozi-daoism,500 BC,,Laozi and the origins of Daoism,religion,ASIA_EAST,contested,100,Daodejing; Chinese tradition,
confucius,551 BC,479 BC,Confucius,religion,ASIA_EAST,year,,Chinese annals,
babylonian-exile,586 BC,538 BC,Babylonian exile,religion,MIDDLE_EAST,year,,Hebrew Bible; Babylonian records,
second-temple,516 BC,70,Second Temple period,religion,MIDDLE_EAST,approx,10,Hebrew Bible; Josephus,
ashoka-buddhist-missions,268 BC,232 BC,Ashoka spreads Buddhism across Asia,religion,ASIA_SOUTH,approx,5,Ashokan edicts,
jesus-of-nazareth,4 BC,30,Jesus of Nazareth,religion,MIDDLE_EAST,contested,5,Gospels; Josephus; Tacitus,
buddhism-reaches-china,65,,Buddhism reaches Han China,religion,ASIA_EAST,approx,30,Han records,
pauline-missions,45,67,Pauline missions spread Christianity,religion,MIDDLE_EAST,approx,5,Pauline epistles; Acts,
destruction-of-the-temple,70,,Destruction of the Second Temple,religion,MIDDLE_EAST,year,,Josephus,
polycarp,70,156,Polycarp,religion,MIDDLE_EAST,approx,,"English Wikipedia, via rengel-de/5603464",
rabbinic-judaism,70,220,Rise of rabbinic Judaism and the Mishnah,religion,MIDDLE_EAST,approx,20,Mishnah; rabbinic sources,
clement-of-alexandria,150,215,Clement of Alexandria,religion,AFRICA,approx,,"English Wikipedia, via rengel-de/5603464",
manichaeism,240,700,Manichaeism spreads from Persia to China,religion,MIDDLE_EAST,approx,30,Manichaean texts,
nicolaus-of-myra,270,351,Nicolaus of Myra,religion,MIDDLE_EAST,approx,,"English Wikipedia, via rengel-de/5603464",
armenia-adopts-christianity,301,,Armenia adopts Christianity as a state religion,religion,MIDDLE_EAST,approx,10,Armenian chronicles,
edict-of-milan,313,,Edict of Milan tolerates Christianity,religion,EUROPE,year,,Lactantius; Eusebius,
athanasius,295,373,Athanasius,religion,AFRICA,approx,,"English Wikipedia, via rengel-de/5603464",
council-of-nicaea,325,,First Council of Nicaea,religion,MIDDLE_EAST,year,,Conciliar acts,
gregorius-of-nazianz,329,390,Gregorius of Nazianz,religion,MIDDLE_EAST,approx,,"English Wikipedia, via rengel-de/5603464",
basilius,330,379,Basilius,religion,MIDDLE_EAST,approx,,"English Wikipedia, via rengel-de/5603464",
gregorius-of-nyssa,335,394,Gregorius of Nyssa,religion,MIDDLE_EAST,approx,,"English Wikipedia, via rengel-de/5603464",
ambrosius,339,397,Ambrosius,religion,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
hieronymus,340,420,Hieronymus,religion,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
chrisostomos,354,407,Chrisostomos,religion,MIDDLE_EAST,approx,,"English Wikipedia, via rengel-de/5603464",
christianity-state-religion,380-02-27,,Christianity made the state religion of Rome,religion,EUROPE,exact,,Edict of Thessalonica,
cyrill,381,444,Cyrill,religion,AFRICA,approx,,"English Wikipedia, via rengel-de/5603464",
council-of-chalcedon,451,,Council of Chalcedon splits the eastern churches,religion,MIDDLE_EAST,year,,Conciliar acts,
benedictine-monasticism,529,,Benedict founds Monte Cassino,religion,EUROPE,approx,5,Rule of St Benedict; Gregory the Great,
buddhism-reaches-japan,552,,Buddhism reaches Japan,religion,ASIA_EAST,approx,15,Nihon Shoki,
muhammad,570,632-06-08,Muhammad,religion,MIDDLE_EAST,approx,5,Quran; early Islamic sources,
hijra,622-09,,The Hijra and the founding of the Muslim community,religion,MIDDLE_EAST,year,,Early Islamic sources,
sunni-shia-split,656,680,Sunni and Shia division,religion,MIDDLE_EAST,year,,Early Islamic sources,
byzantine-iconoclasm,726,843,Byzantine iconoclasm,religion,MIDDLE_EAST,year,,Byzantine chronicles,
christianisation-of-scandinavia,830,1150,Christianisation of Scandinavia,religion,EUROPE,approx,30,Chronicles; runic evidence,
christianisation-of-the-rus,988,,Christianisation of the Rus,religion,EUROPE,year,,Primary Chronicle,
anselm-of-canterbury,1033,1109,Anselm of Canterbury,religion,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
gregorian-reform,1049,1122,Gregorian reform of the western church,religion,EUROPE,year,,Papal records,
